微信支付账单明细
微信昵称：[测试]
起始时间：[2026-07-01 00:00:00] 终止时间：[2026-07-31 23:59:59]

交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2026-07-01 12:30:45,商户消费,美团外卖,午餐订单,支出,32.50,零钱,支付成功,1001,2001,午饭
2026-07-02 08:15:00,商户消费,滴滴出行,快车订单,支出,18.00,零钱,支付成功,1002,2002,
2026-07-03 20:00:00,商户消费,瑞幸咖啡,拿铁,支出,19.90,零钱,支付成功,1003,2003,下午茶
2026-07-05 10:00:00,转账,张三,转账备注,收入,500.00,零钱,支付成功,1004,2004,还钱
2026-07-08 19:45:00,商户消费,京东商城,数码配件,支出,129.00,零钱,支付成功,1005,2005,
2026-07-10 12:00:00,商户消费,麦当劳,汉堡套餐,支出,45.50,零钱,支付成功,1006,2006,午餐
2026-07-12 22:10:00,商户消费,万达影城,电影票,支出,78.00,零钱,支付成功,1007,2007,
2026-07-15 09:30:00,商户消费,国家电网,电费缴纳,支出,156.30,零钱,支付成功,1008,2008,7月电费
2026-07-18 14:00:00,商户消费,淘宝,夏季衣物,支出,258.00,零钱,支付成功,1009,2009,
2026-07-20 18:30:00,转账,公司,工资,收入,3000.00,零钱,支付成功,1010,2010,7月实习工资
2026-07-25 11:20:00,商户消费,美团外卖,晚餐订单,支出,28.80,零钱,支付成功,1011,2011,晚饭
2026-07-28 16:00:00,商户消费,星巴克,美式咖啡,支出,33.00,零钱,支付成功,1012,2012,
2026-07-30 09:00:00,商户消费,顺丰速运,寄件费,支出,12.00,零钱,支付成功,1013,2013,寄文件
2026-07-30 20:00:00,商户消费,美团外卖,退款,收入,15.00,零钱,已全额退款,1014,2014,退款
2026-07-31 23:59:59,商户消费,便利店,饮料零食,支出,23.50,零钱,支付成功,1015,2015,

导出时间：2026-08-01 00:00:00
共15笔记录
